Entity,Day,COVID-19 doses (daily)
Africa,2023-03-08,661712.25
Africa,2023-03-09,661712.25
Africa,2023-03-10,661712.25
Africa,2023-03-11,661712.25
Africa,2023-03-12,661712.25
Africa,2023-03-13,610047.9
Africa,2023-03-14,610047.9
Africa,2023-03-15,610236.75
Africa,2023-03-16,618197.75
Africa,2023-03-17,618197.75
Africa,2023-03-18,618197.75
Africa,2023-03-19,618197.75
Africa,2023-03-20,964681.4
Africa,2023-03-21,964681.4
Africa,2023-03-22,964757.5
Africa,2023-03-23,964757.5
Africa,2023-03-24,964757.5
Africa,2023-03-25,964757.5
Africa,2023-03-26,964757.5
Africa,2023-03-27,814353.44
Africa,2023-03-28,814353.44
Africa,2023-03-29,814309.56
Africa,2023-03-30,814309.56
Africa,2023-03-31,814309.56
Africa,2023-04-01,814309.56
Africa,2023-04-02,814309.56
